ID,Đề mục lớn,User Story,Đề mục nhỏ,Loại Task,Quyền hạn,Ưu tiên,Trạng thái
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,T12.6: Tích hợp liên kết (Hyperlink) dẫn đến trang hướng dẫn hỗ trợ hoặc câu hỏi thường gặp (FAQ) khi gặp lỗi kỹ thuật.,FE,ND,6,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,"T12.7: Thiết lập logic tự động xóa session cũ và làm mới trạng thái ứng dụng khi phát hiện lỗi ""Hết hạn session"".",BE/Logic,AD,5,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,T12.8: Phát triển module logging để ghi nhận các trường hợp xác thực thất bại nhằm phục vụ quản trị viên theo dõi tải lượng hệ thống.,BE,AD,7,Chưa bắt đầu
EP01,Tích hợp VNeID,US12: Nhận thông báo khi xác thực VNeID thất bại,"T12.9: Viết kịch bản kiểm thử (Test Case) cho các trường hợp ngoại lệ: Mất kết nối mạng giữa chừng, nhập sai mã PIN 3 lần.",Testing,ND,4,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,"T34.1: Thiết kế UI nút ""Đăng xuất"" rõ ràng, dễ tiếp cận trên menu dropdown của người dùng.",FE,ND,1,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.10: Kiểm thử E2E luồng: Đăng nhập -> Thao tác -> Đăng xuất -> Thử truy cập lại URL bảo mật.,Testing,ND,3,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.2: Phát triển logic Frontend xóa toàn bộ token (JWT) và thông tin người dùng khỏi Local/Session Storage.,FE/Security,ND,1,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.3: Xây dựng API Backend xử lý yêu cầu đăng xuất và đưa token hiện tại vào danh sách đen (Blacklist).,BE/Security,ND,1,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.4: Tích hợp chức năng ngắt kết nối (Disconnect) ví MetaMask khi người dùng thao tác đăng xuất.,FE/Web3,ND,2,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.5: Lập trình logic chuyển hướng (Redirect) người dùng về trang Đăng nhập hoặc Trang chủ sau khi đăng xuất.,FE,ND,2,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.6: Xây dựng cơ chế vô hiệu hóa session trên Backend nếu hệ thống phát hiện đăng xuất từ thiết bị khác.,BE/Logic,AD,2,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.7: Tích hợp tính năng xóa bộ nhớ đệm (Cache) chứa thông tin nhạy cảm của người dùng trên trình duyệt.,FE/Security,ND,2,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,T34.8: Viết Unit Test cho API đăng xuất: Đảm bảo token bị vô hiệu hóa không thể sử dụng để gọi API khác.,Testing,AD,3,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US34: Đăng xuất khỏi hệ thống an toàn,"T34.9: Kiểm thử chức năng vô hiệu hóa nút ""Quay lại"" (Back) của trình duyệt sau khi đã đăng xuất thành công.",Testing,ND,3,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,"T40.1: Thiết kế giao diện ""Cài đặt tài khoản"" cho phép hiển thị các trường Số điện thoại, Email với nút Chỉnh sửa riêng biệt.",FE,ND,1,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,"T40.10: Thực hiện kiểm thử E2E quy trình cập nhật từ lúc bấm gửi yêu cầu, nhận SMS/Email đến khi hệ thống lưu thành công.",Testing,ND,3,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.2: Tích hợp dịch vụ bên thứ ba để gửi mã OTP qua SMS (ví dụ: VNPT/Twilio) và qua Email (Nodemailer/SendGrid).,BE/Integration,AD,1,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.3: Phát triển API Backend gửi mã xác thực (OTP) tới địa chỉ liên hệ mới trước khi cho phép thay đổi dữ liệu nhạy cảm.,BE/Security,ND,1,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.4: Xây dựng API xác thực OTP và thực hiện lệnh lưu cập nhật số điện thoại/email mới vào Database.,BE/DB,ND,1,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.5: Lập trình logic kiểm tra định dạng email và số điện thoại Việt Nam (Regex validation) tại Frontend và Backend.,FE/BE,ND,2,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.6: Xây dựng cơ chế chống spam (Rate limiting) cho API gửi OTP (VD: Cấm gửi lại OTP trong vòng 60 giây và tối đa 3 lần/ngày).,BE/Security,AD,2,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.7: Thiết lập thời gian sống (TTL) cho mã OTP là 5 phút trong bộ nhớ cache Redis để đảm bảo an toàn.,BE/Infra,AD,2,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.8: Cập nhật màn hình UI hiển thị thông báo thay đổi thành công và tự động đồng bộ làm mới dữ liệu người dùng trên Client.,FE,ND,3,Chưa bắt đầu
EP01,Tích hợp VNeID & Quản lý tài khoản,US40: Cập nhật số điện thoại hoặc email liên lạc,T40.9: Viết kịch bản kiểm thử (Test Case) cho các luồng nhập sai OTP quá số lần cho phép hoặc sử dụng OTP đã hết hạn.,Testing,ND,3,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,T08.1: Thiết kế cấu trúc dữ liệu Transaction và Signature trong Smart Contract để lưu giữ trạng thái ký của nhiều bên.,BC,"LĐ, CB",1,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,"T08.10: Xây dựng chức năng ""Từ chối phê duyệt"" kèm lý do và tự động hoàn tác (revert) trạng thái hồ sơ trên hệ thống.",BE/FE,"LĐ, CB",2,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,T08.2: Lập trình logic kiểm tra ngưỡng (Threshold): Ràng buộc tối thiểu 2 Cán bộ + 1 Lãnh đạo mới được thực thi giao dịch.,BC,"LĐ, CB",1,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,T08.3: Viết hàm confirmTransaction trong Smart Contract để ghi nhận mã băm chữ ký điện tử lên chuỗi khối .,BC,"LĐ, CB",1,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,"T08.4: Phát triển giao diện Dashboard hiển thị danh sách hồ sơ ""Chờ phê duyệt"" dành riêng cho tài khoản Lãnh đạo.",FE,LĐ,1,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,T08.5: Tích hợp thư viện Web3 (ethers.js/viem) để thực hiện ký giao dịch thông qua ví MetaMask trên trình duyệt.,FE,"LĐ, CB",1,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,T08.6: Xây dựng Middleware kiểm tra quyền hạn (Role-based Access Control) để ngăn chặn truy cập trái phép vào API ký duyệt .,BE/Security,AD,1,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,T08.7: Phát triển dịch vụ Notification tự động gửi email/tin nhắn thông báo cho Lãnh đạo khi hồ sơ đã có đủ chữ ký của Cán bộ.,BE,LĐ,3,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,"T08.8: Thiết kế UI hiển thị tiến độ phê duyệt hồ sơ theo thời gian thực (ví dụ: ""Đã hoàn tất 1/2 chữ ký Cán bộ"").",FE,"LĐ, CB, ND",3,Chưa bắt đầu
EP02,Multi-signature,US08: Tôi muốn ký duyệt đa tầng để đảm bảo pháp lý.,T08.9: Viết Unit Test cho Smart Contract xử lý trường hợp ký sai thứ tự hoặc chữ ký không thuộc danh sách được cấp quyền .,Testing,AD,2,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,"T14.1: Phát triển giao diện UI cho phép hiển thị nút ""Từ chối"" kèm form nhập lý do cụ thể trước khi đủ số lượng chữ ký Multi-sig.",FE,LĐ,4,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,"T14.1: Thiết kế giao diện (UI/UX) cho nút ""Từ chối"" và Form nhập lý do cụ thể trên màn hình Dashboard của Lãnh đạo.",FE,LĐ,4,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,"T14.2: Lập trình logic Backend tự động hoàn tác (revert) trạng thái hồ sơ về bước ""Chờ đối soát"" sau khi có lệnh từ chối.",BE/Logic,LĐ,3,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,T14.2: Phát triển API Backend để tiếp nhận yêu cầu hủy bỏ và lý do từ chối từ phía Lãnh đạo.,BE,LĐ,2,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,"T14.3: Lập trình logic Backend tự động hoàn tác (revert) trạng thái hồ sơ từ ""Chờ phê duyệt"" về bước ""Chờ đối soát"".",BE/Logic,LĐ,2,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,T14.4: Xây dựng cơ chế kiểm tra điều kiện: Chỉ cho phép hủy bỏ khi hồ sơ chưa đủ số lượng chữ ký Multi-sig tối thiểu để thực thi.,BE/Logic,AD,2,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,T14.5: Cập nhật Database để lưu trữ lý do từ chối vào lịch sử xử lý hồ sơ phục vụ việc tra cứu sau này.,BE/DB,AD,1,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,T14.6: Phát triển dịch vụ thông báo (Notification) tự động gửi đến Cán bộ thụ lý khi hồ sơ bị Lãnh đạo trả về.,BE,CB,3,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,"T14.7: Viết Unit Test cho hàm Revert Status: Đảm bảo hồ sơ quay về đúng trạng thái ""Chờ đối soát"" và không bị kẹt dữ liệu.",Testing,AD,3,Chưa bắt đầu
EP02,Multi-signature,US14: Hủy bỏ lệnh ký duyệt khi phát hiện sai sót phút chót,T14.8: Thực hiện kiểm thử tích hợp (Integration Test) luồng: Lãnh đạo bấm Từ chối -> Nhập lý do -> DB cập nhật -> UI Cán bộ thay đổi trạng thái.,Testing,"LĐ, CB",3,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.1: Nghiên cứu cấu trúc Smart Contract hỗ trợ thực thi nhiều giao dịch chữ ký trong một lệnh gọi (Batch Transaction).,BC/Research,LĐ,1,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.10: Kiểm thử thực tế phí Gas: Đảm bảo chi phí thực thi Batch Transaction tiết kiệm hơn so với việc ký duyệt từng hồ sơ.,Testing,AD,3,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.2: Thiết kế UI cho phép Lãnh đạo tích chọn (Checkbox) nhiều hồ sơ cùng phân loại trên Dashboard chờ duyệt.,FE,LĐ,1,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,"T37.3: Xây dựng chức năng ""Chọn tất cả"" (Select All) trên danh sách, giới hạn cho các loại thủ tục lặp lại đơn giản.",FE,LĐ,2,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.4: Lập trình logic gom nhóm dữ liệu (Batch Data) trên Frontend để tạo thành một payload mảng (Array) hợp lệ.,FE/Logic,LĐ,2,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.5: Cập nhật hàm Multi-sig trong Smart Contract để vòng lặp xác thực chữ ký cho một lô mảng các hồ sơ.,BC,AD,2,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.6: Tích hợp ví MetaMask để thực hiện yêu cầu ký một lần (Sign once) cho toàn bộ lô hồ sơ đã chọn.,FE/Web3,LĐ,2,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,"T37.7: Thiết lập cơ chế xử lý lỗi cục bộ: Nếu 1 hồ sơ bị lỗi Revert, cho phép bỏ qua để các hồ sơ khác vẫn được ghi nhận.",BC/Logic,AD,3,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.8: Xây dựng thành phần thông báo tiến trình xử lý (Progress bar/Toast) khi lệnh ký hàng loạt đang được xác nhận trên chuỗi.,FE,LĐ,3,Chưa bắt đầu
EP02,Multi-signature,US37: Ký số hàng loạt (Batch Signing) cho các hồ sơ đơn giản,T37.9: Viết Unit Test cho hàm Batch Sign trong Smart Contract với số lượng hồ sơ giả lập từ 10 đến 50 bản ghi.,Testing,AD,3,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.1: Nghiên cứu và thiết lập hạ tầng IPFS Node (Private Cluster) để lưu trữ minh chứng hồ sơ .,Infra/Research,AD,1,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.10: Viết Unit Test kiểm tra tính toàn vẹn của dữ liệu: Đảm bảo CID trả về khớp hoàn toàn với file gốc .,Testing,AD,3,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,"T03.2: Thiết kế và phát triển giao diện (UI) cho phép chọn nhiều định dạng file scan (JPG, PDF, PNG) .",FE,"ND, CB",1,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.3: Cấu hình Agent IPFS và Gateway kết nối trực tiếp với lớp dịch vụ của Backend .,BE/Infra,CB,1,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.4: Xây dựng API Backend để tiếp nhận file từ người dùng và đẩy dữ liệu lên mạng ngang hàng IPFS.,BE,CB,1,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.5: Phát triển logic trích xuất và lưu trữ mã băm CID (Content Identifier) vào Database nội bộ.,BE/DB,CB,1,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.6: Xây dựng cơ chế tự động thử lại (Retry) tối đa 3 lần khi kết nối với IPFS bị gián đoạn hoặc timeout.,BE,AD,3,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.7: Phát triển module hiển thị thanh tiến trình (Progress Bar) trực quan trong quá trình upload file.,FE,"ND, CB",4,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.8: Xây dựng chức năng Preview để người dùng xem lại bản scan trực tiếp từ IPFS thông qua mã CID.,FE/BE,"ND, CB",4,Chưa bắt đầu
EP03,Lưu trữ IPFS,US03: Upload và lưu trữ hồ sơ số lên IPFS,T03.9: Thực hiện mã hóa dữ liệu file trước khi đẩy lên chuỗi để bảo vệ thông tin cá nhân theo Nghị định 13 .,BE/Security,AD,1,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.1: Nghiên cứu kỹ thuật tích hợp Socket hoặc API để theo dõi luồng dữ liệu (Stream) phục vụ việc hiển thị tiến trình upload.,BE/Research,"CB, AD",2,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.2: Thiết kế và phát triển linh kiện giao diện (UI Component) thanh tiến trình (Progress Bar) trực quan.,FE,CB,3,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.3: Lập trình logic kiểm tra dung lượng file ngay tại Frontend và Backend trước khi gửi yêu cầu lên IPFS Gateway.,FE/BE,CB,1,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.4: Xây dựng cơ chế tự động thử lại (Retry) tối đa 3 lần trong lớp dịch vụ (Service Layer) khi gặp lỗi kết nối hoặc Timeout.,BE/Logic,AD,2,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.5: Phát triển module hiển thị thông báo lỗi cụ thể (Toast/Alert) khi vượt quá giới hạn dung lượng hoặc IPFS Gateway không phản hồi.,FE,CB,2,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.6: Thiết lập cấu hình tham số động về thời gian chờ (Timeout) và giới hạn kích thước file trong tệp môi trường của hệ thống.,BE/Infra,AD,4,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.7: Phát triển module Logging để ghi nhận các trường hợp upload thất bại phục vụ việc quản trị và bảo trì hệ thống.,BE,AD,5,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.8: Viết Unit Test cho cơ chế Retry: Đảm bảo hệ thống dừng lại đúng sau 3 lần thử thất bại.,Testing,AD,4,Chưa bắt đầu
EP03,Lưu trữ IPFS,US13: Hệ thống cảnh báo khi file upload lên IPFS bị lỗi/timeout,T13.9: Kiểm thử tích hợp (Integration Test) luồng: Ngắt kết nối mạng giả lập -> Hệ thống thực hiện Retry -> Thông báo lỗi lên UI.,Testing,CB,3,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.1: Nghiên cứu và lựa chọn thư viện Web3 (ethers.js hoặc viem) để tích hợp vào ứng dụng.,FE/Research,"ND, CB",1,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.10: Kiểm thử tích hợp toàn bộ luồng: Đăng nhập VNeID -> Kết nối ví -> Lưu dữ liệu mapping .,Testing,ND,3,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,"T04.2: Phát triển UI nút ""Connect Wallet"" hỗ trợ extension MetaMask và các ví Web3 .",FE,ND,2,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.3: Viết API Backend để lưu trữ ánh xạ (mapping) 1-1 giữa mã định danh (ID) và địa chỉ ví .,BE,AD,1,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.4: Lập trình logic kiểm tra: Ngăn chặn một mã định danh liên kết với nhiều ví khác nhau.,BE/Logic,"ND, CB",1,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.5: Cập nhật Database Schema để lưu trữ thông tin ví gắn liền với hồ sơ người dùng .,BE/DB,AD,1,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,"T04.6: Xây dựng UI hiển thị thông tin ví đã kết nối, bao gồm địa chỉ rút gọn và số dư cơ bản.",FE,ND,4,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.7: Phát triển chức năng ngắt kết nối ví (Disconnect) và xóa session an toàn .,FE/BE,ND,2,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.8: Viết Unit Test cho API ánh xạ ví để đảm bảo tính nhất quán của dữ liệu.,Testing,AD,3,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US02: Liên kết ví MetaMask với tài khoản định danh,T04.9: Xây dựng thông báo (Toast/Alert) khi người dùng thay đổi mạng (Network) không phù hợp trong ví.,FE,ND,4,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US15: Yêu cầu khôi phục liên kết ví khi mất Private Key,T15.1: Xây dựng quy trình API xác thực danh tính nghiêm ngặt qua VNeID trước khi cho phép yêu cầu thay đổi địa chỉ ví mapping.,BE/Security,ND,1,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US15: Yêu cầu khôi phục liên kết ví khi mất Private Key,T15.1: Xây dựng quy trình API xác thực danh tính nghiêm ngặt qua VNeID trước khi cho phép yêu cầu thay đổi địa chỉ ví mapping.,BE/Security,ND,1,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US15: Yêu cầu khôi phục liên kết ví khi mất Private Key,T15.10: Phát triển chức năng thông báo (Push Notification/Email) gửi đến người dùng ngay sau khi địa chỉ ví mới được kích hoạt.,BE,ND,4,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US15: Yêu cầu khôi phục liên kết ví khi mất Private Key,T15.2: Cập nhật Smart Contract để ghi đè (Override) địa chỉ ví cũ bằng địa chỉ ví mới sau khi được LĐ phê duyệt.,BC,"AD, LĐ",1,Chưa bắt đầu
EP04,Liên kết Ví - Định danh,US15: Yêu cầu khôi phục liên kết ví khi mất Private Key,T15.2: Cập nhật Smart Contract để ghi đè (Override) địa chỉ ví cũ bằng địa chỉ ví mới sau khi được LĐ phê duyệt.,BC,"AD, LĐ",1,Chưa bắt đầu
